question,paragraph,link,doc_id
כמה אני צריך לקבל קצבת ילדים עבור 4 ילדים,"שיעורי קצבת הילדים


מיקום הילד/ה במשפחה
סכום הקצבה עבור הילד/ה (נכון ל-2024)


ילד ראשון
169 ₪


ילד שני
214 ₪


ילד שלישי
214 ₪ (+ 111 ₪ להורים שמקבלים קצבאות קיום)


ילד רביעי
214 ₪  (+ 111 ₪ להורים שמקבלים קצבאות קיום)


ילד חמישי ואילך
169 ₪

לשיעורי הקצבה בשנים הקודמות ראו באתר המוסד לביטוח לאומי.

חשוב לדעת
קצבת ילדים פטורה מתשלום מס הכנסה.
המוסד לביטוח לאומי רשאי לקזז מהקצבה חוב שיש לאחד מההורים למוסד לביטוח הלאומי (עקב תשלום יתר בקצבת הילדים או בקצבאות אחרות או עקב אי תשלום דמי ביטוח).
החל מינואר 2017 נפתחת תוכנית חיסכון אישית עבור כל ילד שזכאי לקצבת ילדים. למידע נוסף ראו תוכנית ""חיסכון לכל ילד"".

גורמים מסייעים
מוקדים ממשלתיים
שם: מענה ממשלתי מרכזי 
אתר:    אתר
דוא""ל: דוא""ל
טלפוןטל': 1299
גורמים מסייעים
מוקדים ממשלתיים
שם: שי""ל 
אתר:    אתר
דוא""ל: פניה מקוונת
טלפוןטל': 118
מוקדים ממשלתיים
שם: מענה ממשלתי מרכזי 
טלפון: 1299
מוקדים ממשלתיים
שם: שי""ל 
טלפון: 118מוקדים ממשלתיים
שםטלפוןמענה ממשלתי מרכזי 1299שי""ל 118
גורמי ממשל
המוסד לביטוח לאומי
",https://www.kolzchut.org.il/he/קצבת_ילדים,6499
מאיזה שנה חייב המעסיק להפריש לפנסיה,"

בעקבות פרסום צו ההרחבה לביטוח פנסיוני מקיף במשק, החל משנת 2008 יש לבטח כל עובד בביטוח פנסיוני המתבצע באמצעות הפרשות, גם של העובד וגם של המעסיק, לביטוח הפנסיוני של העובד. בנוסף, המעסיק מחויב להפריש סכומים מסוימים לקרן פיצויי פיטורים של העובד. 

החל ממשכורת ינואר 2017, שיעור ההפרשות הוא 18.5% מהשכר, מתוכם 6% על חשבון העובד והיתר (12.5%) על חשבון המעסיק (6.5% הפרשות מעסיק לרכיב תגמולים ו-6% הפרשות מעסיק לרכיב פיצויים).
עובדים בשירות המדינה זכאים לשיעורי הפרשות גבוהים יותר החל מיולי 2015 (ראו בהמשך).
העובד זכאי לבחור את סוג הביטוח הפנסיוני שבו הוא רוצה להיות מבוטח (קרן פנסיה, קופת גמל או ביטוח מנהלים). החל מספטמבר 2023 ישנם תנאים מקדימים לבחירה בביטוח מנהלים, למידע נוסף ראו כאן.
העובד זכאי לבחור את הגוף הספציפי שאליו יופרשו הכספים ושבו ינוהל הביטוח הפנסיוני.
הפרשות החובה מחושבות על-פי הברוטו של שכר הבסיס של העובד (ללא שעות נוספות) או לפי השכר הממוצע במשק - לפי הנמוך מביניהם אלא אם בהסכם העבודה הוסכם כי ההפרשות יחושבו מתוך שכר גבוה יותר, למשל מתוך מלוא השכר. (ראו פרטים בהמשך).
עובד אינו רשאי לוותר על זכותו לביטוח פנסיוני (גם לא על תשלומים בדיעבד שלא שולמו) ואינו יכול למנוע את ניכוי החלק שלו בהפרשות מתוך השכר.
במקומות עבודה שבהם חל על העובדים הסדר מיטיב בביטוח פנסיוני, המעסיק מחויב להפריש סכומים על-פי הסדר זה, אם תנאיו טובים יותר מהתנאים שנקבעו בצו ההרחבה.
ההפרשות לביטוח פנסיוני עבור העובדים הן חובה של המעסיק, והעובד אינו רשאי לוותר עליהן.
מעסיק שלא מבצע הפרשות לביטוח הפנסיוני עשוי להיות חשוף להטלת קנסות מהיחידה לאכיפת חוקי העבודה במשרד העבודה ואף לתביעות כספיות מצד העובד. ראו פירוט בהמשך דף זה.
",https://www.kolzchut.org.il/he/חובת_ביטוח_פנסיוני_לעובדים,263
האם צריך לתת אישור מחלה ליום מחלה יחיד כשלא משולם עבורו,"
חולה רשאי לפנות לכל רופא כדי לקבל תעודת מחלה לתקופה של עד 30 יום בשל מחלה אחת. תעודות מחלה לתקופות ארוכות יותר, יינתנו רק בהמלצת רופא מומחה או בחתימת מנהלו הרפואי של הרופא נותן התעודה


 
אסור לרשום על תעודת המחלה את האבחנה הרפואית בגינה ניתנה התעודה


 
ניתן לקבל תעודת מחלה למשך עד 4 ימים מבלי להגיע למרפאתו של הרופא


 
ככלל אסור לרופא לתת לחולה תעודת מחלה בדיעבד, אלא במקרים שיפורטו בהמשך


 
למידע נוסף ראו חוזר מינהל הרפואה מס 24/2017 בעניין מתן תעודת מחלה (https://www.health.gov.il/hozer/mr24_2017.pdf)
חוזר מינהל הרפואה מס 24/2017 בעניין מתן תעודת מחלה קובע את הכללים למתן תעודות מחלה מרופא.

חולה רשאי לפנות לכל רופא כדי לקבל תעודת מחלה לתקופה של עד 30 יום בשל מחלה אחת. תעודות מחלה לתקופות ארוכות יותר יינתנו רק בהמלצת רופא מומחה או בחתימת מנהלו הרפואי של הרופא נותן התעודה.
אסור לרופא לרשום על תעודת המחלה את האבחנה הרפואית בגינה ניתנה התעודה.
רופא רשאי לתת לחולה תעודת מחלה עבור עד 4 ימים, מבלי שהחולה יגיע למרפאתו. במקרים מסוימים רשאי הרופא לתת תעודת מחלה עבור תקופה ממושכת יותר.
ככלל אסור לרופא לתת לחולה תעודת מחלה בדיעבד, אלא במקרים שיפורטו בהמשך.

אוכלוסיית יעד ותנאים מקדימים
חולים המעוניינים לקבל מהרופא תעודת מחלה.
עובדים שכירים שנעדרו מהעבודה עקב מחלתם ומבקשים מהמעסיק תשלום דמי מחלה
תלמידי בית ספר או ילדים בגני ילדים שנעדרו מהמוסד הלימודי עקב מחלתם
כל אדם הזקוק להוכחה שהיה חולה במועד מסוים
",https://www.kolzchut.org.il/he/הוצאת_תעודת_מחלה,13245
היכן מחשבון של חישוב דמי מזונות,"
הפורטל עוסק בזכאותם של בני משפחה למזונות בעת פירוק התא המשפחתי.
בתי המשפט נוהגים לפסוק 3 סוגי מזונות:

מזונות אישה: דמי מזונות לבת/בן זוג (לרוב מזונות אישה), נועדו להבטיח את רמת החיים של האישה, ממועד הפרידה בין בני הזוג ועד למועד התרת קשר הנישואין.
מזונות ילדים: נועדו להבטיח את רמת החיים של ילדים הנמצאים בחזקת אחד מההורים או בחזקת אפוטרופוס.
מזונות בני משפחה נוספים: לדוגמה, מזונות הורים עבור קשישים שאינם מסוגלים לכלכל את עצמם, וילדיהם מסוגלים לכלכל אותם.
מזונות מבעל או בן משפחה
מזונות אישה
מזונות לאישה שבעלה מסרב לתת לה גט (מזונות מעוכבת)
מזונות זמניים
מזונות ילדים
תביעה לשינוי סכום מזונות ילדים
תביעת אבהות
קבלת מזונות מבן משפחה
גביית מזונות באמצעות ההוצאה לפועל

הליכים ומשפט
בקשה לביצוע פסק דין למזונות בהוצאה לפועל
גביית חוב במסלול מזונות בהוצאה לפועל
תביעת אבהות
דיון בדלתיים סגורות בענייני משפחה
סיוע משפטי בתחום משפחה ומעמד אישי מטעם האגף לסיוע משפטי

קצבת מזונות מהביטוח הלאומי
קצבת מזונות והטבות נלוות

הקלות למשלמי מזונות
נקודות זיכוי ממס הכנסה בגין תשלום מזונות לבן זוג לשעבר
נקודות זיכוי ממס הכנסה להורה גרוש או פרוד עבור גידול ילדיו

גורמים מסייעים
מוקדים ממשלתיים
שם: מענה ממשלתי מרכזי 
אתר:    אתר
דוא""ל: דוא""ל
טלפוןטל': 1299
גורמים מסייעים
מוקדים ממשלתיים
שם: שי""ל 
אתר:    אתר
דוא""ל: פניה מקוונת
טלפוןטל': 118
מוקדים ממשלתיים
שם: מענה ממשלתי מרכזי 
טלפון: 1299
מוקדים ממשלתיים
שם: שי""ל 
טלפון: 118מוקדים ממשלתיים
שםטלפוןמענה ממשלתי מרכזי 1299שי""ל 118
ארגוני סיוע
נעמת
ויצו
שדולת הנשים בישראל
המרכז לקידום מעמד האשה - מרכז רקמן
הסיוע המשפטי מטעם משרד המשפטים
יחידות הסיוע שליד בתי המשפט לענייני משפחה ובתי הדין הדתיים
",https://www.kolzchut.org.il/he/מזונות,2344
מה התפקיד של מנחה האומנה?,"
תחומי האחריות והתפקידים העיקריים של מנחה האומנה
ביצוע ראיונות, אבחונים, מפגשי הדרכה והסברה עבור מי שמבקש לשמש כהורה אומנה ובסופם נותן את חוות דעתו על התאמת או אי התאמת המבקש לשמש הורה אומנה.
מסירת מסמכים ואישורים שונים להורה האומנה בנוגע לילד ולאומנה.
ליווי ומעקב אחר הילד ומצבו בכל תקופת שהייתו באומנה וקיום מפגשים אישיים עם הילד בהתאם לתוכנית הטיפול, למצבו ולצרכיו.
אחריות על יישום תוכנית הטיפול של הילד ופיקוח על תיפקודו של הורה האומנה.
קיום קשר עם המחלקה לשירותים חברתיים ברשות המקומית שבה מתגוררים הוריו הביולוגיים של הילד ובין השאר עם העובד הסוציאלי שמטפל בהם, כדי להבטיח את המשך הקשר בין הילד להוריו הביולוגיים בתקופת האומנה.
ליווי, ייעוץ, הדרכה, הכוונה ותמיכה מתמשכים להורה האומנה ותיווך ביניהם לבין משרד הרווחה בכל נושא.
עזרה להורי האומנה במימוש זכויותיהם ובתיווך מול הרשויות השונות, כמו: מסגרת חינוכית, רשות מקומית וכו'.
קיום קשר עם גורמי החינוך במוסד החינוכי שבו לומד הילד, גורמי בריאות, גורמי רווחה וכל גורם אחר בחייו של הילד.
קיום קשר עם המוסד לביטוח לאומי בקשר לזכויות המגיעות לילד או עבורו.
דיווח לממונה על רישוי האומנה במשרד הרווחה על כל שינוי שיכול להשפיע על רישיון האומנה או לגרום לביטול הרישיון.
דיווח על אירועים משמעותיים הנוגעים לילד, בהתאם להנחיות ולנהלים שנקבעו לעניין זה.
דיווח למפקח האומנה במשרד הרווחה ולמחלקה לשירותים חברתיים במקרה שבו הילד מבקש לסיים את האומנה או שיש צורך לבחון מחדש את תוכנית הטיפול של הילד.
פנייה לכל מי שיש לו מידע שנוגע לילד, אם המידע נדרש לצורך מילוי תפקידו ושמירה על טובת הילד וזכויותיו.

חשוב לדעת
מנחה האומנה מועסק וממונה על-ידי הגוף המפעיל (עמותה או גוף פרטי) שמוסמך ומאושר להעניק את שירותי האומנה השונים עבור משרד הרווחה והביטחון החברתי.
משרד הרווחה והביטחון החברתי מפקח באופן שוטף על הגוף המפעיל ועל מנחה האומנה באמצעות מפקחי האומנה.
",https://www.kolzchut.org.il/he/מנחה_אומנה,13726
"אם אני רוצה להעסיק שני עובדים מהשטחים בשיפוצים, למי אני צריך לפנות","
הפרויקטים והעבודות בהם ניתן היתר להעסקת עובדים פלסטינים בענף הבנייה בישראל
בהתאם להחלטות הממשלה העסקת עובדים פלסטינים בענף הבניין בישראל  הותרה  בפרויקטים של בניה למגורים ותשתיות בלבד:

בפרויקטים אלה ניתן להעסיק  עובדים פלסטינים בעבודות רטובות בלבד: טפסנות, ברזלנות, טיח וריצוף.
לא תותר העסקת עובדים פלסטינים בענף הבניין בפרויקטים חדשים שאינם בניה למגורים ושניתן עבורם צו תחילת עבודה לאחר יום 01.01.2016, אלא אם ניתן לכך אישור  מצוות בינמשרדי בראשות מנכ""ל משרד הבינוי והשיכון.
בנייה למגורים - דירות, בנייה רוויה או בתים צמודי קרקע.
תשתיות - מערכות מים, ביוב, ניקוז, חשמל, תאורה או כבישים וגשרים.
מבנה משולב - מבנה מגורים המורכב ממספר פונקציות משולבות.
מבנה ציבור - מוסד חינוך, מתנ""ס, שלוחתו או חדר חוגים, אולם תרבות או מופעים, אולם ספורט או מגרש ספורט, בריכת שחייה, ספריה, מרכז לצעירים או לגיל הרך, מועדון נוער או קשישים, מעון יום, בית כנסת, מקווה, מוסד בריאות או בית חולים.

אוכלוסיית יעד ותנאים מקדימים
קבלן המבקש לקבל היתר להעסקת עובדים פלסטינים בענף הבניין, נדרש לעמוד בתנאי הסף הבאים:

הוא קבלן רשום בפנקס הקבלנים ובעל רישיון קבלן בתוקף מרשם הקבלנים במשרד הבינוי והשיכון.
הוא אינו קבלן כוח אדם, נותן שירותי כוח אדם או מתווך כוח אדם.
הוא לא הפר בעבר את תנאי העבודה של עובדיו הפלסטינים, והוא העביר כנדרש  לאגף שירות מעסיקים את מלוא הדיווחים והתשלומים עבור עובדיו אלה.
",https://www.kolzchut.org.il/he/קבלת_היתר_להעסקת_עובדים_פלסטינים_בענף_הבנייה,18148
"הרווחתי בעבודה 850 שח ליום עבודה, זה הסכום שאני אקבל באבטלה?","שיעור דמי האבטלה
חישוב השכר היומי הממוצע
השכר היומי הממוצע יחושב לפי כל הכנסת העובדים שחייבת בתשלום דמי ביטוח לאומי ב-6 החודשים האחרונים שקדמו לחודש שבו נרשמו לראשונה בלשכת שירות התעסוקה, מחולק ב-150.

מי שקיבלו מהמעסיק אחרי שהפסיקו לעבוד תשלומים עבור 6 חודשי העבודה האחרונים עשויים לקבל הפרשים לדמי האבטלה (לבדיקת הזכאות יש לפנות למחלקת אבטלה בסניף המטפל).
למי ששכרם הופחת במהלך 6 חודשי העבודה האחרונים בעקבות תאונה/מחלה (כולל בגלל טיפול בבני משפחה מדרגה ראשונה שחלו) או מסיבה אחרת שלא באשמתם, ניתן לחשב את דמי האבטלה לפי השכר בחודשים שלפני כן, בתקופה של עד 18 חודשים לפני שהתייצבו לראשונה בשירות התעסוקה.
למי ששולמו במהלך 6 חודשי העבודה האחרונים דמי פגיעה, דמי האבטלה יחושבו לפי הכנסתם החייבת בדמי ביטוח בחודשים שלפני כן, בתקופה של עד 18 חודשים לפני שהתייצבו לראשונה בשירות התעסוקה.
למי שנעדרו מהעבודה במהלך 6 חודשי העבודה האחרונים בגלל שביתה, דמי האבטלה יחושבו מבלי להתייחס להפחתה בשכר שנגרמה כתוצאה מההיעדרות. למידע נוסף ראו זכותון עובדים בעת שביתה.
שיעור דמי האבטלה
הסכום המירבי של דמי אבטלה
ב-125 הימים הראשונים (5 חודשים), הסכום המירבי שניתן לקבל ליום הוא 501.44 ₪ ליום, נכון ל-2024.
בשאר ימי הזכאות הסכום המירבי שניתן לקבל הוא 334.29 ₪ ליום, נכון ל-2024.
",https://www.kolzchut.org.il/he/דמי_אבטלה,1521
כמה שעות הכי הרבה מקבלים בוועדת אפיון וזכאות,"
החלטת ועדת זכאות ואפיון
ועדת זכאות ואפיון קובעת את זכאותו של תלמיד עם צרכים מיוחדים לשירותי חינוך מיוחדים, ואת היקף סל השירותים שיינתן לו לפי רמת תפקודו ולפי צרכיו.
הוועדה קובעת את רמת התפקוד והצרכים של התלמיד בהתאם למצבו, בין השאר בתחומים האלה: קוגנטיבי, לימודי, שפתי, רגשי, חברתי, עצמאות תפקודית והתארגנות, ותקשורת.
הוועדה תיידע את הורי התלמיד לגבי השירותים שהתלמיד זכאי לקבל בכל מסגרת חינוכית שבה ילמד, מבין מסגרות אלה:

שירותי החינוך המיוחדים שהתלמיד עשוי להיות זכאי להם מפורטים בתוספת השנייה לחוק חינוך מיוחד.
הזכאות של תלמיד לשירותי חינוך מיוחדים תקפה למשך 3 שנים או עד לקיומה של ועדה חדשה שתתקיים תוך פחות מ-3 שנים.
כיתה רגילה במוסד חינוך רגיל
כיתה במוסד חינוך רגיל שניתנים בה שירותי חינוך מיוחדים
מוסד חינוך מוכר שניתנים בו שירותי חינוך מיוחדים
",https://www.kolzchut.org.il/he/ועדת_זכאות_ואפיון_לשירותי_חינוך_מיוחדים,15019
"אני רוצה לפטר עובדת נקיון .
צריך שימוע? מה הזכויות שלה","
סיום עבודה - פיטורים והתפטרות
הודעה מוקדמת
מעסיקים שמעוניינים לפטר עובדות במשק בית (וכן עובדות שמעוניינות להתפטר), מחויבים במתן הודעה מוקדמת בת יום אחד עבור כל חודש של עבודה. (למשל, בתום שנה של עבודה העובדות זכאיות להודעת פיטורים מוקדמת בת 12 ימים).
המשמעות היא שבמהלך תקופת ההודעה המוקדמת העובדת זכאית להמשיך לעבוד כרגיל (בימי העבודה והשעות הרגילים שלה) ולקבל שכר.
המעסיק רשאי לוותר על עבודה בפועל במהלך תקופת ההודעה המוקדמת, ולהפסיק את העסקתה של העובדת באופן מיידי, אבל הוא עדיין חייב לשלם לה את השכר הרגיל שהיה משלם אילו המשיכה לעבוד אצלו באותם ימי עבודה החלים במהלך תקופת ההודעה המוקדמת (למעט החזר הוצאות נסיעה).
עובדת משק בית שעבדה במשך שנה כעוזרת בית, פעמיים בשבוע, בימים שני ורביעי.
כעבור שנה, ביום חמישי מודיע לה המעסיק על פיטוריה.
העובדת זכאית ל-12 ימי הודעה מוקדמת (יום לכל חודש עבודה).
12 הימים מסתיימים ביום שלישי בשבוע השני שלאחר מתן ההודעה.
העובדת זכאית להמשיך לעבוד ולקבל שכר בכל ימי העבודה (ימים שני ורביעי) אשר חלים במהלך 12 הימים הבאים:

ימים שני ורביעי בשבוע הראשון שלאחר ההודעה.
יום שני בשבוע שלאחר מכן.
סה""כ שלושה ימי עבודה. (העובדת אינה זכאית לעבוד ביום רביעי בשבוע השני, שכן הוא חל לאחר שכבר הסתיימו 12 הימים של ההודעה המוקדמת).
אם המעסיק רוצה להפסיק את עבודתה מייד, הוא רשאי לעשות זאת אך עליו לשלם לה שכר רגיל עבור שלושה ימים (שלושת ימי העבודה שבהם היתה עובדת במהלך תקופת ההודעה המוקדמת).
אם העובדת שפוטרה הפסיקה את עבודתה לאלתר על דעת עצמה ללא הסכמת המעסיק, ולא המשיכה לעבוד בתקופת ההודעה המוקדמת, רשאי המעסיק להגיש נגדה תביעת פיצויים לבית הדין לעבודה ושם עליו להוכיח את הנזקים שנגרמו לו כתוצאה מעזיבתה המוקדמת של העובדת. אסור למעסיק לקזז, על דעת עצמו, סכומים כלשהם מתוך התשלומים להם זכאית העובדת בסיום תקופת העבודה, כפיצוי על הנזקים שנגרמו עקב עזיבתה המיידית לפני תום תקופת ההודעה המוקדמת.
למידע נוסף ראו:

הודעה מוקדמת לפיטורים.
הודעה מוקדמת להתפטרות.
",https://www.kolzchut.org.il/he/זכותון_עובדים_במשק_בית_%28עוזרות_בית_ומטפלים/ות%29,2351
האם לעובד זר לא מסתנן יש תעודת זהות ישראלי?,"
זכותו של כל תושב ישראל הנמצא בישראל וגילו 16 ומעלה, לקבל תעודת זהות


 
אזרח ישראלי שמרכז חייו מחוץ לישראל, אינו זכאי לקבל תעודת זהות


 
החל מחודש יוני 2017, מונפקות תעודות זהות ביומטריות בלבד


 
תעודת זהות ראשונה מונפקת ללא עלות


 
למידע נוסף ראו סע' 24 לחוק מרשם האוכלוסין, תשכ""ה-1965 (https://www.nevo.co.il/law_html/Law01/289_001.htmSeif31)
כל אזרח ותושב ישראל מגיל 16 ומעלה, רשאי לקבל תעודת זהות אשר מונפקת על-ידי רשות האוכלוסין וההגירה. 

הנפקה של תעודת זהות בפעם הראשונה, אינה כרוכה בתשלום.
אזרח ישראלי אשר מרכז חייו לא בישראל, אינו זכאי לקבלת תעודת זהות.

מי זכאי?
מי שעומד בכל התנאים הבאים:

מעל גיל 16.
אזרח מדינת ישראל (כולל מי שמחזיק באשרת עולה, תעודת עולה או רישיון לישיבת קבע).
נמצא במדינת ישראל כתושב (מרכז חייו הוא במדינת ישראל ולא בחו""ל).

תהליך מימוש הזכות
החל מחודש יוני 2017, רשות האוכלוסין וההגירה מנפיקה תעודות זהות ביומטריות בלבד. למידע נוסף ראו הוצאה וחידוש של תעודת זהות.

חשוב לדעת
הוצאת תעודת זהות ראשונה אינה כרוכה בתשלום.
אזרח ישראלי שמרכז חייו מחוץ לישראל, אינו זכאי לקבל תעודת זהות.

גורמים מסייעים
מוקדים ממשלתיים
שם: מענה ממשלתי מרכזי 
אתר:    אתר
דוא""ל: דוא""ל
טלפוןטל': 1299
גורמים מסייעים
מוקדים ממשלתיים
שם: שי""ל 
אתר:    אתר
דוא""ל: פניה מקוונת
טלפוןטל': 118
מוקדים ממשלתיים
שם: מענה ממשלתי מרכזי 
טלפון: 1299
מוקדים ממשלתיים
שם: שי""ל 
טלפון: 118מוקדים ממשלתיים
שםטלפוןמענה ממשלתי מרכזי 1299שי""ל 118
גורמי ממשל
רשות האוכלוסין וההגירה

מקורות משפטיים ורשמיים
פסקי דין
אזרח ישראלי שמרכז חייו מחוץ לישראל, אינו זכאי להנפקת תעודת זהות חדשה
",https://www.kolzchut.org.il/he/קבלת_תעודת_זהות,15156
